NOME,BAIRRO,ENDERECO,CULINARIA,endereco_completo,latitude,longitude,estrelas
Restaurante Salete,Tijuca,Rua Afonso Pena 189,Brasileira,"Rua Afonso Pena 189, Rio de Janeiro, Brazil",-22.9945024,-44.2390533,1
Tragga Del Mar,Barra Da Tijuca,Av. Das Américas 8585,Frutos do mar e Mediterrâneo,"Avenida Das Américas 8585, Rio de Janeiro, Brazil",-23.0012325,-43.3965375,2
Na Brasa Columbia,Tijuca,Rua Hadock Lobo 346,Brasileira,"Rua Hadock Lobo 346, Rio de Janeiro, Brazil",-22.9151577,-43.2075116,4
Turino,Tijuca,Rua Santa Sofia 114,Italiana,"Rua Santa Sofia 114, Rio de Janeiro, Brazil",-22.7285423,-43.4967019,1
Toca da Traira,Botafogo,Rua General Severiano 97,Frutos do mar e Mediterrâneo,"Rua General Severiano 97, Rio de Janeiro, Brazil",-22.9540228,-43.17786973955063,4
Fornêro,Tijuca,Rua Deputado Soares Filho 321A,Pizzaria,"Rua Deputado Soares Filho 321A, Rio de Janeiro, Brazil",-22.6420412,-43.63895,2
Mamma Jamma,Botafogo,"Praia de Botafogo, 400 - Loja 504 ",Pizzaria,"Praia de Botafogo, Rio de Janeiro, Brazil",-22.94540365,-43.18081801820892,2
Coco Bambu,Botafogo,"Rua Gen. Severiano, 97",Frutos do mar,"Rua Gen. Severiano, Rio de Janeiro, Brazil",-22.71148,-43.4587003,1
Nolita,Barra da Tijuca ,"Av das Americas, 3900 ",Italiana,"Av das Americas, Rio de Janeiro, Brazil",-22.9960898,-43.5942696,2
Tragga Humaitá,Humaitá,Rua Capitão Salomão 74,Steakhouse,"Rua Capitão Salomão 74, Rio de Janeiro, Brazil",-22.9571371,-43.1962066,5
La Esquina,Lapa,Av. Mem de Sá 61,Sul- Ameicana,"Avenida Mem de Sá 61, Rio de Janeiro, Brazil",-22.9133866,-43.1810992,2
Cazota Bar,Lapa,Av. Mem de Sá 126,Brasileira e Churrasco Argentino,"Avenida Mem de Sá 126, Rio de Janeiro, Brazil",-22.9126538,-43.183891,4
Carioca da Gema ,Lapa,Av. Mem de Sá 79,Brasileira ,"Avenida Mem de Sá 79, Rio de Janeiro, Brazil",-22.9132755,-43.1819106,4
Paris Gastrô,Flamengo,Praia do Flamengo 340,Francesa,"Praia do Flamengo 340, Rio de Janeiro, Brazil",-22.9276356,-43.1737414,4
Mitsuo Japinha ,Flamengo,Rua Marques de Abrantes 79,Japonesa,"Rua Marques de Abrantes 79, Rio de Janeiro, Brazil",-22.9360723,-43.1770784,4
Amburgueria Mocellin,Barra da Tijuca,Av. Marechal henrique Lott 120,Fast- food,"Avenida Marechal henrique Lott 120, Rio de Janeiro, Brazil",-23.001451,-43.3481247,5
Marchezinho,Botafogo,"Rua Voluntários da Pátria, 46",Brasileira,"Rua Voluntários da Pátria, Rio de Janeiro, Brazil",-22.4652689,-44.4673968,3
Paris 6,Barra da Tijuca," Av. Lúcio Costa, 3150",Francesa,"Avenida Lúcio Costa, Rio de Janeiro, Brazil",-23.0131298,-43.3947761,1
Massa + Ella,Leblon,"Rua Dias Ferreira, 617",Italiana,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272,4
Esplanada Grill,Ipanema,"Rua Barão da Torre, 600 ",Churrascaria,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768,2
La Villa,Botafogo,"Rua Álvaro Ramos, 408",Francesa,"Rua Álvaro Ramos, Rio de Janeiro, Brazil",-22.7046041,-43.4273632,4
Didier,Ipanema,"Rua Vinícius de Moraes, 124",Francesa,"Rua Vinícius de Moraes, Rio de Janeiro, Brazil",-22.4604693,-44.4810911,2
Posì Mozza & Mare,Ipanema,"Rua Aníbal de Mendonça, 158 ",Italiana,"Rua Aníbal de Mendonça, Rio de Janeiro, Brazil",-22.9828334,-43.2112609,2
Braseiro da Gávea,Gávea,"Praça Santos Dumont, 116",Brasileira,"Praça Santos Dumont, Rio de Janeiro, Brazil",-22.50146455,-44.07522764529055,4
Alfaia,Copacabana,"Rua Inhangá, 30 ",Portuguesa,"Rua Inhangá, Rio de Janeiro, Brazil",-22.8458127,-42.34074,5
La Trattoria,Copacabana ,"Rua Fernando Mendes, 7 ",Italiana,"Rua Fernando Mendes, Rio de Janeiro, Brazil",-22.9136061,-42.9338004,2
Tasca Miúda,Leblon,"Rua Humberto de Campos, 827",Portuguesa,"Rua Humberto de Campos, Rio de Janeiro, Brazil",-22.6786615,-43.2398067,2
Degrau,Leblon," Av. Ataulfo de Paiva, 517 ",Brasileira,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261,4
Zazá Bistrô Tropical,Ipanema,"Rua Joana Angélica, 40 ",Marroquina e asiática,"Rua Joana Angélica, Rio de Janeiro, Brazil",-22.9832734,-43.2049026,2
Juliette Bistrô,Leblon,"Av. Ataulfo de Paiva, 270",Francesa,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261,2
Casa Graviola,Leblon,"Av. Ataulfo de Paiva, 1240",Vegetariana,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261,4
Ono Poke ,Ipanema," Rua Visc. de Pirajá, 630",Japonesa e Havaiana,"Rua Visc. de Pirajá, Rio de Janeiro, Brazil",-22.9837404,-43.214208,4
Casa Tua Cucina,Barra da Tijuca,"Av. Érico Veríssimo, 190",Italiana,"Avenida Érico Veríssimo, Rio de Janeiro, Brazil",-23.010411,-43.308371,1
Adega Santiago,Barra da Tijuca,"Av. das Américas, 3900 ",Ibérica,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492,5
Maria e o Boi,Ipanema,"Rua Maria Quitéria, 111",Carne,"Rua Maria Quitéria, Rio de Janeiro, Brazil",-22.8254531,-43.0767814,5
Koa Poke,Copacabana,"Rua Barão de Ipanema, 15 ",Havaiana,"Rua Barão de Ipanema, Rio de Janeiro, Brazil",-22.9746064,-43.1905222,2
Pobre Juan ,Barra da Tijuca,"Av. das Américas, 3900 ",Argentina,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492,5
Lasai,Humaitá,"Largo dos Leões, 35",Moderna,"Largo dos Leões, Rio de Janeiro, Brazil",-22.95332185,-43.19664946819718,2
Naga,Barra da Tijuca,"Av. das Américas, 3900",Japonesa,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492,1
Galeto do Leblon,Leblon,"Rua Aristides Espinola, 121",Frango,"Rua Aristides Espinola, Rio de Janeiro, Brazil",-22.9866388,-43.2268313,4
Mr. Lam,Lagoa,"Rua Maria Angélica, 21",Chinesa,"Rua Maria Angélica, Rio de Janeiro, Brazil",-22.7500808,-43.4110004,4
Corrientes 348 ,Barra da Tijuca,"Av. das Américas, 7777 ",Argentina,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492,4
Abbraccio Cucina,Botafogo," Av. Lauro Sodré, 445",Italiana,"Avenida Lauro Sodré, Rio de Janeiro, Brazil",-22.9532376,-43.1789597,5
Royal Grill,Barra da Tijuca,"Av. Ayrton Senna, 2150",Churrascaria,"Avenida Ayrton Senna, Rio de Janeiro, Brazil",-23.0054271,-44.3091696,1
Pici Trattoria,Ipanema,"Rua Barão da Torre, 348",Italiana,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768,5
Nusa Café,Ipanema,"Rua Vinícius de Moraes, 129",Brunch,"Rua Vinícius de Moraes, Rio de Janeiro, Brazil",-22.4604693,-44.4810911,5
